"Ticker","Company Name","Sector","Shares Outstanding, Millions"
"A","Agilent Technologies Inc.","Health Care","332.0"
"AA","Alcoa Inc.","Materials","1222.5"
"AAL","Alexander & Alexander","Industrials","678.3"
"AAP","Advance Auto Parts Inc","Consumer Discretionary","73.2"
"AAPL","Apple Inc.","Information Technology","5705.4"
"ABBV","AbbVie Inc.","Health Care","1655.3"
"ABC","AmerisourceBergen Corp.","Health Care","216.5"
"ABT","Abbott Laboratories","Health Care","1490.4"
"ACE","ACE Limited","Financials","2814.0"
"ACN","Accenture plc","Information Technology","657.0"
"ADBE","Adobe Systems Inc.","Information Technology","498.7"
"ADI","Analog Devices Inc.","Information Technology","313.7"
"ADM","Archer-Daniels-Midland Co.","Consumer Staples","614.0"
"ADP","ADP, LLC.","Information Technology","466.4"
"ADS","Alliance Data Systems Corp.","Information Technology","61.7"
"ADSK","Autodesk Inc.","Information Technology","226.2"
"ADT","ADT Corp.","Industrials","170.7"
"AEE","Ameren Corp.","Utilities","242.6"
"AEP","American Electric Power","Utilities","490.5"
"AES","AES Corp.","Utilities","682.6"
"AET","Aetna Inc.","Health Care","348.6"
"AFL","AFLAC Inc.","Financials","430.6"
"AGN","Allergan Inc.","Health Care","393.6"
"AIG","AIG, Inc.","Financials","1307.4"
"AIV","Aimco","Financials","156.3"
"AIZ","Assurant Inc.","Financials","67.0"
"AKAM","Akamai Technologies Inc.","Information Technology","178.8"
"ALL","Allstate Corp.","Financials","402.0"
"ALLE","Allegion","Industrials","95.8"
"ALTR","Altera Corp.","Information Technology","302.5"
"ALXN","Alexion Pharmaceuticals","Health Care","226.0"
"AMAT","Applied Materials Inc.","Information Technology","1201.0"
"AME","Ametek","Industrials","242.2"
"AMG","Affiliated Managers Group","Financials","54.3"
"AMGN","Amgen Inc.","Health Care","759.1"
"AMP","Ameriprise Financial","Financials","178.8"
"AMT","American Tower Corp.","Financials","423.3"
"AMZN","Amazon.com Inc.","Consumer Discretionary","468.0"
"AN","AutoNation Inc.","Consumer Discretionary","113.4"
"ANTM","Anthem Inc.","Health Care","261.6"
"AON","Aon plc","Financials","280.0"
"APA","Apache Corporation","Energy","378.0"
"APC","Anadarko Petroleum Corp.","Energy","508.0"
"APD","Air Products & Chemicals","Materials","215.0"
"APH","Amphenol Corp.","Industrials","309.0"
"ARG","Airgas Inc.","Materials","74.6"
"ATVI","Activision Blizzard Inc","Information Technology","728.9"
"AVB","AvalonBay Communities","Financials","132.9"
"AVGO","Avago Technologies","Information Technology","275.4"
"AVY","Avery Dennison Corp","Materials","91.6"
"AXP","American Express Co","Financials","1002.0"
"AZO","AutoZone Inc","Consumer Discretionary","30.7"
"BA","Boeing Co.","Industrials","681.1"
"BAC","Bank of America Corp.","Financials","10471.8"
"BAX","Baxter International Inc.","Health Care","545.2"
"BBBY","Bed Bath & Beyond","Consumer Discretionary","166.9"
"BBT","BB&T Corp.","Financials","733.5"
"BBY","Best Buy Co. Inc.","Consumer Discretionary","344.3"
"BCR","C. R. Bard, Inc","Health Care","74.2"
"BDX","Becton Dickinson","Health Care","210.3"
"BEN","Franklin Resources","Financials","614.8"
"BF.B","Brown-Forman Corp.","Consumer Staples","206.5"
"BHI","Baker Hughes Inc","Energy","435.9"
